Date,Below Treeline,Treeline,Above Treeline
2013-03-20,3,4,4
2013-03-21,2,3,3
2013-03-22,1,2,3
2013-03-23,2,2,3
2013-03-24,1,2,2
2013-03-25,1,2,2
2013-03-26,1,2,2
2013-03-27,1,1,2
2013-03-28,1,1,2
2013-03-29,1,1,1
2013-03-30,1,1,1
2013-03-31,1,1,1
2013-04-01,1,1,1
2013-04-02,1,1,1
2013-04-03,1,1,2
2013-04-04,1,1,2
2013-04-05,2,3,3
2013-04-06,2,3,4
2013-04-07,2,3,3
2013-04-08,1,2,2
2013-04-09,1,2,2
2013-04-10,2,3,3
2013-04-11,1,2,3
2013-04-12,1,2,2
2013-04-13,2,2,3
2013-04-14,1,2,3
2013-04-15,1,2,2
2013-04-16,1,2,2
2013-04-17,1,2,2
2013-04-18,1,2,2
2013-04-19,1,2,2
2013-04-20,1,1,2
2013-04-21,1,1,2
2013-04-22,1,1,2
2013-04-23,1,2,3
2013-04-24,1,2,3
2013-04-25,1,2,3
2013-04-26,1,2,3
2013-04-27,1,2,3
2013-04-28,1,2,3
2013-04-29,1,2,3
2013-04-30,1,2,3
2014-01-01,1,1,2
2014-01-02,1,2,3
2014-01-03,1,2,3
2014-01-04,1,2,2
2014-01-05,1,2,3
2014-01-06,1,2,2
2014-01-07,1,2,2
2014-01-08,1,2,3
2014-01-09,1,2,3
2014-01-10,1,3,3
2014-01-11,2,4,4
2014-01-12,2,3,4
2014-01-13,2,3,3
2014-01-14,1,2,3
2014-01-15,1,2,3
2014-01-16,2,3,3
2014-01-17,2,3,4
2014-01-18,2,2,3
2014-01-19,1,2,2
2014-01-20,1,2,2
2014-01-21,1,2,2
2014-01-22,1,1,2
2014-01-23,1,1,2
2014-01-24,1,1,2
2014-01-25,1,2,2
2014-01-26,1,2,2
2014-01-27,1,1,2
2014-01-28,1,1,1
2014-01-29,1,1,1
2014-01-30,1,1,2
2014-01-31,1,1,1
2014-02-01,1,1,1
2014-02-02,1,1,1
2014-02-03,1,1,1
2014-02-04,1,1,1
2014-02-05,1,1,1
2014-02-06,1,1,1
2014-02-07,1,1,1
2014-02-08,1,1,1
2014-02-09,1,1,1
2014-02-10,1,3,3
2014-02-11,1,3,3
2014-02-12,2,3,4
2014-02-13,3,3,4
2014-02-14,3,3,4
2014-02-15,3,3,3
2014-02-16,3,4,4
2014-02-17,3,4,4
2014-02-18,3,4,4
2014-02-19,3,4,4
2014-02-20,3,3,4
2014-02-21,3,3,4
2014-02-22,3,3,4
2014-02-23,3,3,4
2014-02-24,3,3,3
2014-02-25,3,4,4
2014-02-26,3,3,3
2014-02-27,2,3,3
2014-02-28,1,2,3
2014-03-01,1,2,3
2014-03-02,1,2,3
2014-03-03,2,3,3
2014-03-04,3,3,3
2014-03-05,3,3,3
2014-03-06,3,4,4
2014-03-07,2,3,3
2014-03-08,3,4,4
2014-03-09,3,4,4
2014-03-10,2,3,3
2014-03-11,2,2,3
2014-03-12,2,2,3
2014-03-13,1,2,2
2014-03-14,2,2,3
2014-03-15,3,4,4
2014-03-16,3,4,4
2014-03-17,3,4,4
2014-03-18,1,2,3
2014-03-19,2,3,3
2014-03-20,1,2,3
2014-03-21,1,2,2
2014-03-22,1,2,2
2014-03-23,2,2,2
2014-03-24,1,2,2
2014-03-25,1,2,3
2014-03-26,1,2,3
2014-03-27,2,3,3
2014-03-28,2,2,3
2014-03-29,3,3,4
2014-03-30,2,3,3
2014-03-31,2,3,3
2014-04-01,2,3,3
2014-04-02,2,3,3
2014-04-03,2,3,3
2014-04-04,2,2,3
2014-04-05,2,2,3
2014-04-06,2,2,3
2014-04-07,2,3,3
2014-04-08,3,3,3
2014-04-09,2,2,3
2014-04-10,1,2,2
2014-04-11,1,1,2
2014-04-12,1,1,2
2014-04-13,1,1,2
2014-04-14,1,1,2
2014-04-15,1,1,1
2014-04-16,1,1,1
2014-04-17,2,3,3
2014-04-18,1,2,3
2014-04-19,1,2,3
2014-04-20,1,2,3
2014-04-21,1,2,2
2014-04-22,1,2,2
2014-04-23,1,2,2
2014-04-24,1,2,3
2014-04-25,1,2,3
2014-04-26,1,2,3
2014-04-27,1,2,3
2014-04-28,1,2,3
2014-04-29,1,2,3
2014-04-30,1,2,3
2015-01-01,1,2,2
2015-01-02,1,2,2
2015-01-03,1,2,2
2015-01-04,2,2,3
2015-01-05,4,4,4
2015-01-06,3,4,4
2015-01-07,2,3,3
2015-01-08,2,2,2
2015-01-09,1,2,2
2015-01-10,1,1,2
2015-01-11,1,1,1
2015-01-12,1,1,1
2015-01-13,1,1,1
2015-01-14,1,1,1
2015-01-15,1,2,3
2015-01-16,1,2,3
2015-01-17,2,2,3
2015-01-18,3,4,4
2015-01-19,2,3,3
2015-01-20,1,2,3
2015-01-21,1,2,2
2015-01-22,1,2,2
2015-01-23,3,4,4
2015-01-24,3,4,4
2015-01-25,2,3,3
2015-01-26,2,2,3
2015-01-27,1,1,2
2015-01-28,1,1,1
2015-01-29,1,1,1
2015-01-30,1,1,1
2015-01-31,1,1,1
2015-02-01,1,2,2
2015-02-02,1,2,3
2015-02-03,1,2,2
2015-02-04,1,2,2
2015-02-05,2,3,4
2015-02-06,2,4,4
2015-02-07,3,4,4
2015-02-08,2,3,4
2015-02-09,2,3,3
2015-02-10,2,2,3
2015-02-11,2,2,3
2015-02-12,2,3,3
2015-02-13,1,2,2
2015-02-14,1,1,2
2015-02-15,1,2,2
2015-02-16,1,1,1
2015-02-17,1,1,1
2015-02-18,1,1,1
2015-02-19,1,1,2
2015-02-20,1,1,1
2015-02-21,1,1,1
2015-02-22,1,1,2
2015-02-23,1,1,2
2015-02-24,1,1,1
2015-02-25,1,1,1
2015-02-26,1,1,1
2015-02-27,1,1,1
2015-02-28,1,1,1
2015-03-01,1,1,1
2015-03-02,1,1,1
2015-03-03,1,1,1
2015-03-04,1,1,2
2015-03-05,1,1,1
2015-03-06,1,1,1
2015-03-07,1,1,1
2015-03-08,1,1,1
2015-03-09,1,1,1
2015-03-10,1,1,1
2015-03-11,1,1,2
2015-03-12,1,2,2
2015-03-13,1,2,2
2015-03-14,1,2,3
2015-03-15,1,2,3
2015-03-16,1,2,3
2015-03-17,1,2,2
2015-03-18,1,2,3
2015-03-19,1,3,3
2015-03-20,1,3,4
2015-03-21,1,3,3
2015-03-22,1,3,3
2015-03-23,1,2,3
2015-03-24,1,2,3
2015-03-25,1,3,3
2015-03-26,1,3,4
2015-03-27,1,3,3
2015-03-28,1,3,3
2015-03-29,2,4,4
2015-03-30,2,4,4
2015-03-31,1,3,3
2015-04-01,1,2,3
2015-04-02,1,2,3
2015-04-03,1,2,3
2015-04-04,1,2,2
2015-04-05,1,1,2
2015-04-06,2,2,2
2015-04-07,1,1,2
2015-04-08,1,1,2
2015-04-09,1,1,2
2015-04-10,1,1,2
2015-04-11,1,2,3
2015-04-12,1,2,3
2015-04-13,1,2,3
2015-04-14,1,2,3
2015-04-15,1,2,3
2015-04-16,1,2,3
2015-04-17,1,2,2
2015-04-18,1,3,3
2015-04-19,1,3,3
2015-04-20,1,3,3
2015-04-21,1,2,3
2015-04-22,1,2,3
2015-04-23,1,2,3
2015-04-24,1,2,3
2015-04-25,1,2,3
2015-04-26,1,2,3
2015-04-27,1,2,3
2015-04-28,1,2,3
2015-04-29,1,2,3
2015-04-30,1,2,3
2016-01-01,1,1,2
2016-01-02,1,1,1
2016-01-03,1,1,1
2016-01-04,1,1,2
2016-01-05,1,1,2
2016-01-06,1,1,2
2016-01-07,1,1,2
2016-01-08,1,1,1
2016-01-09,1,1,1
2016-01-10,1,1,1
2016-01-11,1,1,1
2016-01-12,3,3,4
2016-01-13,3,3,3
2016-01-14,2,3,3
2016-01-15,2,3,3
2016-01-16,3,3,3
2016-01-17,2,3,3
2016-01-18,2,3,3
2016-01-19,2,3,3
2016-01-20,3,3,3
2016-01-21,4,3,3
2016-01-22,2,3,4
2016-01-23,1,2,3
2016-01-24,1,2,2
2016-01-25,1,2,2
2016-01-26,2,3,3
2016-01-27,3,4,4
2016-01-28,3,4,4
2016-01-29,2,3,3
2016-01-30,1,2,3
2016-01-31,2,3,3
2016-02-01,1,2,2
2016-02-02,1,2,2
2016-02-03,1,2,2
2016-02-04,1,2,3
2016-02-05,2,3,3
2016-02-06,2,3,4
2016-02-07,2,3,3
2016-02-08,2,3,3
2016-02-09,3,3,3
2016-02-10,2,2,2
2016-02-11,1,2,2
2016-02-12,1,2,3
2016-02-13,1,2,2
2016-02-14,2,2,3
2016-02-15,1,2,3
2016-02-16,2,3,3
2016-02-17,1,3,3
2016-02-18,2,3,3
2016-02-19,2,3,4
2016-02-20,2,2,3
2016-02-21,1,2,2
2016-02-22,1,2,2
2016-02-23,1,2,2
2016-02-24,1,2,2
2016-02-25,1,1,2
2016-02-26,1,1,2
2016-02-27,1,1,2
2016-02-28,1,1,2
2016-02-29,1,2,2
2016-03-01,2,3,3
2016-03-02,2,3,3
2016-03-03,2,3,3
2016-03-04,2,3,3
2016-03-05,3,3,4
2016-03-06,2,3,3
2016-03-07,1,2,3
2016-03-08,2,3,3
2016-03-09,1,2,2
2016-03-10,3,4,4
2016-03-11,2,3,4
2016-03-12,2,3,4
2016-03-13,2,3,3
2016-03-14,2,2,3
2016-03-15,1,2,3
2016-03-16,1,2,3
2016-03-17,1,2,3
2016-03-18,1,2,2
2016-03-19,1,2,2
2016-03-20,1,2,2
2016-03-21,1,2,3
2016-03-22,1,2,2
2016-03-23,1,3,3
2016-03-24,2,3,3
2016-03-25,2,3,3
2016-03-26,1,2,3
2016-03-27,2,3,3
2016-03-28,1,2,3
2016-03-29,2,2,2
2016-03-30,2,2,2
2016-03-31,2,2,3
2016-04-01,2,2,3
2016-04-02,2,2,2
2016-04-03,1,1,2
2016-04-04,2,3,3
2016-04-05,1,2,3
2016-04-06,2,2,2
2016-04-07,2,3,3
2016-04-08,1,2,3
2016-04-09,1,2,3
2016-04-10,1,2,3
2016-04-11,1,2,3
2016-04-12,1,2,3
2016-04-13,1,2,3
2016-04-14,1,2,3
2016-04-15,1,2,3
2016-04-16,1,2,3
2016-04-17,1,2,3
2016-04-18,1,2,3
2016-04-19,1,2,3
2016-04-20,1,2,3
2016-04-21,1,2,3
2016-04-22,1,2,3
2016-04-23,1,2,3
2016-04-24,1,2,3
2016-04-25,1,2,3
2016-04-26,1,2,3
2016-04-27,1,2,3
2016-04-28,1,2,3
2016-04-29,1,2,3
2016-04-30,1,2,3
2017-01-01,1,2,2
2017-01-02,1,2,2
2017-01-03,1,2,2
2017-01-04,1,2,2
2017-01-05,1,2,2
2017-01-06,1,2,2
2017-01-07,1,1,2
2017-01-08,1,1,2
2017-01-09,1,2,2
2017-01-10,1,2,2
2017-01-11,1,2,2
2017-01-12,1,2,2
2017-01-13,1,2,2
2017-01-14,1,2,2
2017-01-15,1,2,2
2017-01-16,1,2,2
2017-01-17,3,4,4
2017-01-18,3,4,4
2017-01-19,3,4,4
2017-01-20,2,3,3
2017-01-21,2,3,3
2017-01-22,2,3,3
2017-01-23,1,2,3
2017-01-24,1,2,2
2017-01-25,1,2,2
2017-01-26,1,1,2
2017-01-27,1,1,2
2017-01-28,1,2,2
2017-01-29,1,2,2
2017-01-30,1,2,2
2017-01-31,1,1,2
2017-02-01,1,1,2
2017-02-02,1,1,2
2017-02-03,1,2,2
2017-02-04,3,3,3
2017-02-05,3,3,4
2017-02-06,2,3,3
2017-02-07,2,2,2
2017-02-08,2,2,2
2017-02-09,4,4,4
2017-02-10,4,4,4
2017-02-11,2,2,3
2017-02-12,2,2,3
2017-02-13,1,2,2
2017-02-14,3,4,4
2017-02-15,3,4,4
2017-02-16,3,4,4
2017-02-17,1,2,3
2017-02-18,1,2,3
2017-02-19,1,2,3
2017-02-20,1,2,2
2017-02-21,1,2,2
2017-02-22,1,2,2
2017-02-23,1,1,2
2017-02-24,1,1,2
2017-02-25,1,1,2
2017-02-26,1,1,1
2017-02-27,1,1,1
2017-02-28,1,1,2
2017-03-01,1,2,2
2017-03-02,1,3,3
2017-03-03,2,3,3
2017-03-04,2,3,3
2017-03-05,2,3,3
2017-03-06,2,3,3
2017-03-07,2,3,3
2017-03-08,2,3,3
2017-03-09,2,3,3
2017-03-10,3,4,4
2017-03-11,3,4,4
2017-03-12,2,3,4
2017-03-13,3,3,4
2017-03-14,2,2,3
2017-03-15,2,3,3
2017-03-16,2,3,3
2017-03-17,2,3,3
2017-03-18,2,2,3
2017-03-19,1,2,3
2017-03-20,1,2,3
2017-03-21,1,2,3
2017-03-22,1,2,3
2017-03-23,1,2,3
2017-03-24,3,4,4
2017-03-25,1,2,3
2017-03-26,1,2,3
2017-03-27,2,2,3
2017-03-28,2,3,3
2017-03-29,2,3,3
2017-03-30,1,2,2
2017-03-31,1,2,2
2017-04-01,1,2,3
2017-04-02,1,2,3
2017-04-03,1,2,2
2017-04-04,1,2,3
2017-04-05,2,3,3
2017-04-06,2,3,3
2017-04-07,1,2,3
2017-04-08,1,2,2
2017-04-09,1,2,2
2017-04-10,1,1,2
2017-04-11,1,1,2
2017-04-12,1,2,3
2017-04-13,1,2,2
2017-04-14,1,1,2
2017-04-15,1,2,3
2017-04-16,1,2,2
2017-04-17,1,2,2
2017-04-18,1,2,3
2017-04-19,1,2,3
2017-04-20,2,2,3
2017-04-21,1,1,2
2017-04-22,1,2,2
2017-04-23,1,1,2
2017-04-24,1,2,3
2017-04-25,1,2,3
2017-04-26,1,2,3
2017-04-27,1,2,3
2017-04-28,1,2,3
2017-04-29,1,2,3
2017-04-30,1,2,3
